MCC;Название;Группа;Обновлено;;;;;
3213;Malmo Aviation (MALMO AV);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3213,'Malmo Aviation (MALMO AV) ');";
3214;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3214,'Авиалинии, авиакомпании ');";
3215;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3215,'Авиалинии, авиакомпании ');";
3216;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3216,'Авиалинии, авиакомпании ');";
3217;CSA Ceskoslovenske Aerolinie (CSA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3217,'CSA Ceskoslovenske Aerolinie (CSA) ');";
3218;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3218,'Авиалинии, авиакомпании ');";
3219;Compania Panamena de Aviacion (COPA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3219,'Compania Panamena de Aviacion (COPA) ');";
3220;Compania Faucett (COMPANIA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3220,'Compania Faucett (COMPANIA) ');";
3221;Transportes Aeros Militares Ecuatorianos (TAME AIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3221,'Transportes Aeros Militares Ecuatorianos (TAME AIR) ');";
3222;Command Airways (COMMAND);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3222,'Command Airways (COMMAND) ');";
3223;Comair (COMAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3223,'Comair (COMAIR) ');";
3224;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3224,'Авиалинии, авиакомпании ');";
3225;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3225,'Авиалинии, авиакомпании ');";
3226;Skyways (SKYWAYS);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3226,'Skyways (SKYWAYS) ');";
3227;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3227,'Авиалинии, авиакомпании ');";
3228;Cayman Airways (CAYMANAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3228,'Cayman Airways (CAYMANAIR) ');";
3229;SAETA (Sociedad Ecuatorianas De Transportes Aereo) (SAETAAIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3229,'SAETA (Sociedad Ecuatorianas De Transportes Aereo) (SAETAAIR) ');";
3230;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3230,'Авиалинии, авиакомпании ');";
3231;SAHSA (Servicio Aero de Honduras) (SAHSA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3231,'SAHSA (Servicio Aero de Honduras) (SAHSA) ');";
3232;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3232,'Авиалинии, авиакомпании ');";
3233;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3233,'Авиалинии, авиакомпании ');";
3234;Caribbean Airlines (CARIBBEAN);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3234,'Caribbean Airlines (CARIBBEAN) ');";
3235;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3235,'Авиалинии, авиакомпании ');";
3236;Air Arabia Airline (AIR ARAB);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3236,'Air Arabia Airline (AIR ARAB) ');";
3237;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3237,'Авиалинии, авиакомпании ');";
3238;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3238,'Авиалинии, авиакомпании ');";
3239;Bar Harbor Airlines (BARHARBO);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3239,'Bar Harbor Airlines (BARHARBO) ');";
3240;Bahamasair (BAHAMASA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3240,'Bahamasair (BAHAMASA) ');";
3241;Aviateca (Guatemala) (AVIATECA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3241,'Aviateca (Guatemala) (AVIATECA) ');";
3242;Avensa (AVENSA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3242,'Avensa (AVENSA) ');";
3243;Austrian Air Service (AUSTRAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3243,'Austrian Air Service (AUSTRAIR) ');";
3244;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3244,'Авиалинии, авиакомпании ');";
3245;EasyJet (EASYJET);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3245,'EasyJet (EASYJET) ');";
3246;Ryanair (RYANAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3246,'Ryanair (RYANAIR) ');";
3247;Gol Airlines (GOL);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3247,'Gol Airlines (GOL) ');";
3248;Tam Airlines (TAM);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3248,'Tam Airlines (TAM) ');";
3249;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3249,'Авиалинии, авиакомпании ');";
3250;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3250,'Авиалинии, авиакомпании ');";
3251;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3251,'Авиалинии, авиакомпании ');";
3252;ALM Antilean Airlines (ALM);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3252,'ALM Antilean Airlines (ALM) ');";
3253;America West (AMERWEST);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3253,'America West (AMERWEST) ');";
3254;Trump Airline;Авиалинии, авиакомпании;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3254,'Trump Airline ');";
3256;Alaska Airlines Inc. (ALASKA A);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3256,'Alaska Airlines Inc. (ALASKA A) ');";
3257;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3257,'Авиалинии, авиакомпании ');";
3258;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3258,'Авиалинии, авиакомпании ');";
3259;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3259,'Авиалинии, авиакомпании ');";
3260;Spirit Airlines (SPIRIT);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3260,'Spirit Airlines (SPIRIT) ');";
3261;Air China (AIR CHINA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3261,'Air China (AIR CHINA) ');";
3262;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3262,'Авиалинии, авиакомпании ');";
3263;Aero Servicio Carabobo (ASERCA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3263,'Aero Servicio Carabobo (ASERCA) ');";
3264;Авиалинии, авиакомпании;Авиалинии, авиакомпании;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3264,'Авиалинии, авиакомпании ');";
3265;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3265,'Авиалинии, авиакомпании ');";
3266;Air Seychelles (AIR SEYC);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3266,'Air Seychelles (AIR SEYC) ');";
3267;Air Panama International (AIR PANA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3267,'Air Panama International (AIR PANA) ');";
3268;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3268,'Авиалинии, авиакомпании ');";
3270;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3270,'Авиалинии, авиакомпании ');";
3274;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3274,'Авиалинии, авиакомпании ');";
3275;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3275,'Авиалинии, авиакомпании ');";
3276;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3276,'Авиалинии, авиакомпании ');";
3277;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3277,'Авиалинии, авиакомпании ');";
3278;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3278,'Авиалинии, авиакомпании ');";
3279;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3279,'Авиалинии, авиакомпании ');";
3280;Air Jamaica (AIR JAMA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3280,'Air Jamaica (AIR JAMA) ');";
3281;Air Djibouti (AIR DJIB);Авиалинии, авиакомпании;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3281,'Air Djibouti (AIR DJIB) ');";
3282;Air Djibouti (AIR DJIB);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3282,'Air Djibouti (AIR DJIB) ');";
3283;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3283,'Авиалинии, авиакомпании ');";
3284;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3284,'Авиалинии, авиакомпании ');";
3285;Aero Peru (AEROPERU);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3285,'Aero Peru (AEROPERU) ');";
3286;Aero Nicaraguenses (AERO NIC);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3286,'Aero Nicaraguenses (AERO NIC) ');";
3287;Aero Coach Aviation (AEROCOAC);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3287,'Aero Coach Aviation (AEROCOAC) ');";
3288;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3288,'Авиалинии, авиакомпании ');";
3289;Авиалинии, авиакомпании;Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3289,'Авиалинии, авиакомпании ');";
3290;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3290,'Авиалинии, авиакомпании ');";
3291;Авиалинии, авиакомпании;Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3291,'Авиалинии, авиакомпании ');";
3292;Cyprus Airways (CYPRUSA);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3292,'Cyprus Airways (CYPRUSA) ');";
3293;Ecuatoriana (ECUATORI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3293,'Ecuatoriana (ECUATORI) ');";
3294;Ethiopian Airlines (ETHIOPIA);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3294,'Ethiopian Airlines (ETHIOPIA) ');";
3295;Kenya Airways (KENYAAIR);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3295,'Kenya Airways (KENYAAIR) ');";
3296;Air Berlin (AIRBERLIN);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3296,'Air Berlin (AIRBERLIN) ');";
3297;Tarom Romanian Air Transport (TAROM AIR);Авиалинии, авиакомпании;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3297,'Tarom Romanian Air Transport (TAROM AIR) ');";
3298;Air Mauritius (AIRMAURI);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3298,'Air Mauritius (AIRMAURI) ');";
3299;Wideroes Flyveselskap (WIDEROES);Авиалинии, авиакомпании;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3299,'Wideroes Flyveselskap (WIDEROES) ');";
3300;Azul Air (AZU);Авиалинии, авиакомпании;18.04.2019;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3300,'Azul Air (AZU) ');";
3301;Wizz Air (W6);Авиалинии, авиакомпании;18.04.2019;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3301,'Wizz Air (W6) ');";
3351;Affiliated Auto Rental;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3351,'Affiliated Auto Rental ');";
3352;American Intl Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3352,'American Intl Rent-a-car ');";
3353;Brooks Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3353,'Brooks Rent-a-car ');";
3354;Action Auto Rental;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3354,'Action Auto Rental ');";
3355;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3355,'Агентства по аренде автомобилей ');";
3356;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3356,'Агентства по аренде автомобилей ');";
3357;Hertz Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3357,'Hertz Rent-a-car ');";
3358;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3358,'Агентства по аренде автомобилей ');";
3359;Payless Car Rental;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3359,'Payless Car Rental ');";
3360;Snappy Car Rental;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3360,'Snappy Car Rental ');";
3361;Airways Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3361,'Airways Rent-a-car ');";
3362;Altra Auto Rental;Аренда автомобилей;13.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3362,'Altra Auto Rental ');";
3363;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3363,'Агентства по аренде автомобилей ');";
3364;Agency Rent-a-car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3364,'Agency Rent-a-car ');";
3365;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3365,'Агентства по аренде автомобилей ');";
3366;Budget Rent-a-car;Аренда автомобилей;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3366,'Budget Rent-a-car ');";
3367;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3367,'Агентства по аренде автомобилей ');";
3368;Holiday Rent-a-wreck;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3368,'Holiday Rent-a-wreck ');";
3369;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3369,'Агентства по аренде автомобилей ');";
3370;Rent-a-wreck;Аренда автомобилей;16.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3370,'Rent-a-wreck ');";
3371;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3371,'Агентства по аренде автомобилей ');";
3372;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3372,'Агентства по аренде автомобилей ');";
3373;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3373,'Агентства по аренде автомобилей ');";
3374;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3374,'Агентства по аренде автомобилей ');";
3375;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3375,'Агентства по аренде автомобилей ');";
3376;Ajax Rent-a-car;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3376,'Ajax Rent-a-car ');";
3377;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3377,'Агентства по аренде автомобилей ');";
3378;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3378,'Агентства по аренде автомобилей ');";
3379;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3379,'Агентства по аренде автомобилей ');";
3380;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3380,'Агентства по аренде автомобилей ');";
3381;Europ Car;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3381,'Europ Car ');";
3382;Агентства по аренде автомобилей;Аренда автомобилей;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3382,'Агентства по аренде автомобилей ');";
3383;Агентства по аренде автомобилей;Аренда автомобилей;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 3383,'Агентства по аренде автомобилей ');";
